=== MATCH SCHEDULE FOR SUNDAY ===
10:55 AM - 11:20 AM | CMD29  | Court 5
10:55 AM - 11:20 AM | CMD30  | Court 6
11:00 AM - 11:25 AM | CMD31  | Court 13
11:00 AM - 11:25 AM | DMD33  | Court 14
11:00 AM - 11:25 AM | DMD34  | Court 15
11:00 AM - 11:25 AM | DMD35  | Court 16
11:00 AM - 11:25 AM | DMD36  | Court 17
11:00 AM - 11:25 AM | DMD37  | Court 18
11:00 AM - 11:25 AM | DMD38  | Court 19
11:00 AM - 11:25 AM | DMD39  | Court 9
11:00 AM - 11:25 AM | DMD40  | Court 10
11:00 AM - 11:25 AM | DMD41  | Court 11
11:00 AM - 11:25 AM | DMD42  | Court 12
11:00 AM - 11:25 AM | DMD43  | Court 7
11:00 AM - 11:25 AM | DMD44  | Court 8
11:20 AM - 11:45 AM | DMD45  | Court 1
11:20 AM - 11:45 AM | DMD46  | Court 2
11:20 AM - 11:45 AM | DMD47  | Court 3
11:20 AM - 11:45 AM | DMD48  | Court 4
11:20 AM - 11:45 AM | DWD33  | Court 5
11:20 AM - 11:45 AM | DWD34  | Court 6
11:25 AM - 11:50 AM | DWD35  | Court 13
11:25 AM - 11:50 AM | DWD36  | Court 14
11:25 AM - 11:50 AM | DWD37  | Court 15
11:25 AM - 11:50 AM | DWD38  | Court 16
11:25 AM - 11:50 AM | DWD39  | Court 17
11:25 AM - 11:50 AM | DWD40  | Court 18
11:25 AM - 11:50 AM | DWD41  | Court 19
11:25 AM - 11:50 AM | DWD42  | Court 9
11:25 AM - 11:50 AM | DWD43  | Court 10
11:25 AM - 11:50 AM | DWD44  | Court 11
11:25 AM - 11:50 AM | DWD45  | Court 12
11:25 AM - 11:50 AM | DWD46  | Court 7
11:25 AM - 11:50 AM | DWD47  | Court 8
11:45 AM - 12:10 PM | DWD48  | Court 1
11:45 AM - 12:10 PM | BMD2   | Court 2
11:45 AM - 12:10 PM | BMD3   | Court 3
11:45 AM - 12:10 PM | BMD4   | Court 4
11:45 AM - 12:10 PM | BMD6   | Court 5
11:45 AM - 12:10 PM | BMD7   | Court 6
11:50 AM - 12:15 PM | BMD8   | Court 9
11:50 AM - 12:15 PM | BMD9   | Court 10
11:50 AM - 12:15 PM | BMD10  | Court 11
11:50 AM - 12:15 PM | BMD11  | Court 12
11:50 AM - 12:15 PM | BMD12  | Court 7
11:50 AM - 12:15 PM | BMD13  | Court 8
11:50 AM - 12:15 PM | CMD33  | Court 13
11:50 AM - 12:15 PM | CMD34  | Court 14
11:50 AM - 12:15 PM | CMD35  | Court 15
11:50 AM - 12:15 PM | CMD36  | Court 16
11:50 AM - 12:15 PM | CMD37  | Court 17
11:50 AM - 12:15 PM | CMD38  | Court 18
11:50 AM - 12:15 PM | CMD39  | Court 19
12:10 PM - 12:35 PM | BMD14  | Court 1
12:10 PM - 12:35 PM | BMD15  | Court 2
12:10 PM - 12:35 PM | CMD40  | Court 3
12:10 PM - 12:35 PM | CMD41  | Court 4
12:10 PM - 12:35 PM | CMD42  | Court 5
12:10 PM - 12:35 PM | CMD43  | Court 6
12:15 PM - 12:40 PM | CMD44  | Court 13
12:15 PM - 12:40 PM | CMD45  | Court 14
12:15 PM - 12:40 PM | CMD46  | Court 15
12:15 PM - 12:40 PM | CMD47  | Court 16
12:15 PM - 12:40 PM | CMD48  | Court 17
12:15 PM - 12:40 PM | AMD9   | Court 7
12:15 PM - 12:40 PM | CWD4   | Court 18
12:15 PM - 12:40 PM | CWD6   | Court 19
12:15 PM - 12:40 PM | CWD8   | Court 9
12:15 PM - 12:40 PM | CWD9   | Court 10
12:15 PM - 12:40 PM | CWD11  | Court 11
12:15 PM - 12:40 PM | CWD13  | Court 12
12:15 PM - 12:40 PM | CWD15  | Court 8
12:35 PM - 01:00 PM | DMD49  | Court 1
12:35 PM - 01:00 PM | DMD50  | Court 2
12:35 PM - 01:00 PM | DMD51  | Court 3
12:35 PM - 01:00 PM | DMD52  | Court 4
12:35 PM - 01:00 PM | DMD53  | Court 5
12:35 PM - 01:00 PM | DMD54  | Court 6
12:40 PM - 01:05 PM | DMD55  | Court 13
12:40 PM - 01:05 PM | DMD56  | Court 14
12:40 PM - 01:05 PM | DWD49  | Court 15
12:40 PM - 01:05 PM | DWD50  | Court 16
12:40 PM - 01:05 PM | DWD51  | Court 17
12:40 PM - 01:05 PM | DWD52  | Court 18
12:40 PM - 01:05 PM | DWD53  | Court 19
12:40 PM - 01:05 PM | DWD54  | Court 9
12:40 PM - 01:05 PM | DWD55  | Court 10
12:40 PM - 01:05 PM | DWD56  | Court 11
12:40 PM - 01:05 PM | BMD17  | Court 12
12:40 PM - 01:05 PM | BMD18  | Court 7
12:40 PM - 01:05 PM | BMD19  | Court 8
01:00 PM - 01:25 PM | BMD20  | Court 1
01:00 PM - 01:25 PM | BMD21  | Court 2
01:00 PM - 01:25 PM | BMD22  | Court 3
01:00 PM - 01:25 PM | BMD23  | Court 4
01:00 PM - 01:25 PM | BMD24  | Court 5
01:00 PM - 01:25 PM | CMD49  | Court 6
01:05 PM - 01:30 PM | CMD50  | Court 13
01:05 PM - 01:30 PM | CMD51  | Court 14
01:05 PM - 01:30 PM | CMD52  | Court 15
01:05 PM - 01:30 PM | CMD53  | Court 16
01:05 PM - 01:30 PM | CMD54  | Court 17
01:05 PM - 01:30 PM | CMD55  | Court 18
01:05 PM - 01:30 PM | CMD56  | Court 19
01:05 PM - 01:30 PM | AMD17  | Court 7
01:05 PM - 01:30 PM | AMD18  | Court 8
01:05 PM - 01:30 PM | CWD17  | Court 9
01:05 PM - 01:30 PM | CWD18  | Court 10
01:05 PM - 01:30 PM | CWD19  | Court 11
01:05 PM - 01:30 PM | CWD20  | Court 12
01:25 PM - 01:50 PM | AMD19  | Court 5
01:25 PM - 01:50 PM | AMD20  | Court 6
01:25 PM - 01:50 PM | CWD21  | Court 1
01:25 PM - 01:50 PM | CWD22  | Court 2
01:25 PM - 01:50 PM | CWD23  | Court 3
01:25 PM - 01:50 PM | CWD24  | Court 4
