=== MATCH SCHEDULE FOR SATURDAY ===
12:35 PM - 01:00 PM | DXD31  | Court 5
12:35 PM - 01:00 PM | DWS2   | Court 6
12:40 PM - 01:05 PM | DWS4   | Court 13
12:40 PM - 01:05 PM | DWS6   | Court 14
12:40 PM - 01:05 PM | DWS7   | Court 15
12:40 PM - 01:05 PM | DWS8   | Court 16
12:40 PM - 01:05 PM | DWS9   | Court 17
12:40 PM - 01:05 PM | DWS10  | Court 18
12:40 PM - 01:05 PM | DWS11  | Court 19
12:40 PM - 01:05 PM | DWS13  | Court 9
12:40 PM - 01:05 PM | DWS14  | Court 10
12:40 PM - 01:05 PM | DWS15  | Court 11
12:40 PM - 01:05 PM | CMS97  | Court 12
12:40 PM - 01:05 PM | CMS98  | Court 7
12:40 PM - 01:05 PM | CMS99  | Court 8
01:00 PM - 01:25 PM | CMS100 | Court 1
01:00 PM - 01:25 PM | CMS101 | Court 2
01:00 PM - 01:25 PM | CMS102 | Court 3
01:00 PM - 01:25 PM | CMS103 | Court 4
01:00 PM - 01:25 PM | CMS104 | Court 5
01:00 PM - 01:25 PM | CMS105 | Court 6
01:05 PM - 01:30 PM | CMS106 | Court 13
01:05 PM - 01:30 PM | CMS107 | Court 14
01:05 PM - 01:30 PM | CMS108 | Court 15
01:05 PM - 01:30 PM | CMS109 | Court 16
01:05 PM - 01:30 PM | CMS110 | Court 17
01:05 PM - 01:30 PM | CMS111 | Court 18
01:05 PM - 01:30 PM | CMS112 | Court 19
01:05 PM - 01:30 PM | BMS2   | Court 9
01:05 PM - 01:30 PM | BMS4   | Court 10
01:05 PM - 01:30 PM | BMS6   | Court 11
01:05 PM - 01:30 PM | BMS7   | Court 12
01:05 PM - 01:30 PM | BMS8   | Court 7
01:05 PM - 01:30 PM | BMS9   | Court 8
01:25 PM - 01:50 PM | BMS10  | Court 1
01:25 PM - 01:50 PM | BMS11  | Court 2
01:25 PM - 01:50 PM | BMS13  | Court 3
01:25 PM - 01:50 PM | BMS14  | Court 4
01:25 PM - 01:50 PM | BMS15  | Court 5
01:25 PM - 01:50 PM | DMS97  | Court 6
01:30 PM - 01:55 PM | DMS98  | Court 13
01:30 PM - 01:55 PM | DMS99  | Court 14
01:30 PM - 01:55 PM | DMS100 | Court 15
01:30 PM - 01:55 PM | DMS101 | Court 16
01:30 PM - 01:55 PM | DMS102 | Court 17
01:30 PM - 01:55 PM | DMS103 | Court 18
01:30 PM - 01:55 PM | DMS104 | Court 19
01:30 PM - 01:55 PM | DMS105 | Court 9
01:30 PM - 01:55 PM | DMS106 | Court 10
01:30 PM - 01:55 PM | DMS107 | Court 11
01:30 PM - 01:55 PM | DMS108 | Court 12
01:30 PM - 01:55 PM | DMS109 | Court 7
01:30 PM - 01:55 PM | DMS110 | Court 8
01:50 PM - 02:15 PM | DMS111 | Court 1
01:50 PM - 02:15 PM | DMS112 | Court 2
01:50 PM - 02:15 PM | CXD33  | Court 3
01:50 PM - 02:15 PM | CXD34  | Court 4
01:50 PM - 02:15 PM | CXD35  | Court 5
01:50 PM - 02:15 PM | CXD36  | Court 6
01:55 PM - 02:20 PM | CXD37  | Court 13
01:55 PM - 02:20 PM | CXD38  | Court 14
01:55 PM - 02:20 PM | CXD39  | Court 15
01:55 PM - 02:20 PM | CXD40  | Court 16
01:55 PM - 02:20 PM | CXD41  | Court 17
01:55 PM - 02:20 PM | CXD42  | Court 18
01:55 PM - 02:20 PM | CXD43  | Court 19
01:55 PM - 02:20 PM | CXD44  | Court 9
01:55 PM - 02:20 PM | CXD45  | Court 10
01:55 PM - 02:20 PM | CXD46  | Court 11
01:55 PM - 02:20 PM | CXD47  | Court 12
01:55 PM - 02:20 PM | CXD48  | Court 7
01:55 PM - 02:20 PM | DXD33  | Court 8
02:15 PM - 02:40 PM | DXD34  | Court 1
02:15 PM - 02:40 PM | DXD35  | Court 2
02:15 PM - 02:40 PM | DXD36  | Court 3
02:15 PM - 02:40 PM | DXD37  | Court 4
02:15 PM - 02:40 PM | DXD38  | Court 5
02:15 PM - 02:40 PM | DXD39  | Court 6
02:20 PM - 02:45 PM | DXD40  | Court 13
02:20 PM - 02:45 PM | DXD41  | Court 14
02:20 PM - 02:45 PM | DXD42  | Court 15
02:20 PM - 02:45 PM | DXD43  | Court 16
02:20 PM - 02:45 PM | DXD44  | Court 17
02:20 PM - 02:45 PM | DXD45  | Court 18
02:20 PM - 02:45 PM | DXD46  | Court 19
02:20 PM - 02:45 PM | DXD47  | Court 9
02:20 PM - 02:45 PM | DXD48  | Court 10
02:20 PM - 02:45 PM | BXD4   | Court 11
02:20 PM - 02:45 PM | BXD6   | Court 12
02:20 PM - 02:45 PM | BXD8   | Court 7
02:20 PM - 02:45 PM | BXD9   | Court 8
02:40 PM - 03:05 PM | BXD11  | Court 1
02:40 PM - 03:05 PM | BXD13  | Court 2
02:40 PM - 03:05 PM | CWS2   | Court 3
02:40 PM - 03:05 PM | CWS7   | Court 4
02:40 PM - 03:05 PM | AXD4   | Court 5
02:40 PM - 03:05 PM | AXD5   | Court 6
02:45 PM - 03:10 PM | AMS2   | Court 7
02:45 PM - 03:10 PM | DWS17  | Court 13
